prénom,nom,senateur
André,Gaspard,http://www.wikidata.org/entity/Q2847809
André,Geoffroy,http://www.wikidata.org/entity/Q2847828
André,Jarrot,http://www.wikidata.org/entity/Q2847989
André,Jouany,http://www.wikidata.org/entity/Q2848005
André,Jourdain,http://www.wikidata.org/entity/Q2848013
André,Lejeune,http://www.wikidata.org/entity/Q2848149
André,Maman,http://www.wikidata.org/entity/Q2848229
André,Martin,http://www.wikidata.org/entity/Q2848256
André,Mignot,http://www.wikidata.org/entity/Q2848306
André,Morice,http://www.wikidata.org/entity/Q2848330
André,Picard,http://www.wikidata.org/entity/Q2848437
André,Plait,http://www.wikidata.org/entity/Q2848453
André,Servat,http://www.wikidata.org/entity/Q2848637
André,Traband,http://www.wikidata.org/entity/Q2848713
André,Vairetto,http://www.wikidata.org/entity/Q2848736
André,Vallet,http://www.wikidata.org/entity/Q2848739
André,Vallini,http://www.wikidata.org/entity/Q2848745
André,Villiers,http://www.wikidata.org/entity/Q2848786
André,Vézinhet,http://www.wikidata.org/entity/Q2848800
Alex,Roubert,http://www.wikidata.org/entity/Q2833021
Alex,Türk,http://www.wikidata.org/entity/Q2833050
Hubert,Falco,http://www.wikidata.org/entity/Q2750200
Alphonse,Arzel,http://www.wikidata.org/entity/Q2839694
Antoine,Andrieux,http://www.wikidata.org/entity/Q2853592
Adeline,Gousseau,http://www.wikidata.org/entity/Q2824213
Alexandre,Dumas,http://www.wikidata.org/entity/Q2833635
Anne-Marie,Escoffier,http://www.wikidata.org/entity/Q2850864
Anne-Marie,Payet,http://www.wikidata.org/entity/Q2850886
Adrien,Giraud,http://www.wikidata.org/entity/Q2825180
Adrien,Gouteyron,http://www.wikidata.org/entity/Q2825184
Aline,Jodry,http://www.wikidata.org/entity/Q2837020
Aline,Archimbaud,http://www.wikidata.org/entity/Q2837020
Albéric,de Montgolfier,http://www.wikidata.org/entity/Q2832067
Abdourahamane,Soilihi,http://www.wikidata.org/entity/Q2821402
Ambroise,Dupont,http://www.wikidata.org/entity/Q2842382
André-Georges,Voisin,http://www.wikidata.org/entity/Q2847047
Annick,Bocandé,http://www.wikidata.org/entity/Q2851565
Dominique,Bailly,http://www.wikidata.org/entity/Q3034967
Dominique,Braye,http://www.wikidata.org/entity/Q3035023
Dominique,Gillot,http://www.wikidata.org/entity/Q3035194
Dominique,Raviat,http://www.wikidata.org/entity/Q3035194
Dominique,Larifla,http://www.wikidata.org/entity/Q3035266
Dominique,Leclerc,http://www.wikidata.org/entity/Q3035280
Dominique,Mortemousque,http://www.wikidata.org/entity/Q3035341
Dominique,Pado,http://www.wikidata.org/entity/Q3035363
Dominique,Watrin,http://www.wikidata.org/entity/Q3035535
Dominique,de Legge,http://www.wikidata.org/entity/Q3035559
Ernest,Petit,http://www.wikidata.org/entity/Q3057131
Esther,Sittler,http://www.wikidata.org/entity/Q3058990
Florian,Bruyas,http://www.wikidata.org/entity/Q3074174
François,Abadie,http://www.wikidata.org/entity/Q3083773
François,Blaizot,http://www.wikidata.org/entity/Q3083986
Denis,Badré,http://www.wikidata.org/entity/Q3022530
Fernand,Auberger,http://www.wikidata.org/entity/Q3069037
Fernand,Chatelain,http://www.wikidata.org/entity/Q3069083
Fernand,Demilly,http://www.wikidata.org/entity/Q3069121
Fernand,Dussert,http://www.wikidata.org/entity/Q3069138
Fernand,Esseul,http://www.wikidata.org/entity/Q3069140
Fernand,Lefort,http://www.wikidata.org/entity/Q3069234
Fernand,Poignant,http://www.wikidata.org/entity/Q3069301
Fernand,Tardy,http://www.wikidata.org/entity/Q3069346
Fernand,Verdeille,http://www.wikidata.org/entity/Q3069363
Francis,Delattre,http://www.wikidata.org/entity/Q3081384
Francis,Grignon,http://www.wikidata.org/entity/Q3081473
Francis,Le Basser,http://www.wikidata.org/entity/Q3081540
Cécile,Cukierman,http://www.wikidata.org/entity/Q3009722
Cécile,Goldet,http://www.wikidata.org/entity/Q3009743
Christiane,Hummel,http://www.wikidata.org/entity/Q2965766
Christiane,Longère,http://www.wikidata.org/entity/Q2965783
France,Lechenault,http://www.wikidata.org/entity/Q3080723
Jean-Michel,Baylet,http://www.wikidata.org/entity/Q3082745
Franz,Duboscq,http://www.wikidata.org/entity/Q3083097
Claudine,Lepage,http://www.wikidata.org/entity/Q2978494
Dinah,Derycke,http://www.wikidata.org/entity/Q3028246
Daniel,Benoist,http://www.wikidata.org/entity/Q3013711
Daniel,Goulet,http://www.wikidata.org/entity/Q3014108
Daniel,Laurent,http://www.wikidata.org/entity/Q3014298
Daniel,Marsin,http://www.wikidata.org/entity/Q3014427
Daniel,Millaud,http://www.wikidata.org/entity/Q3014455
Daniel,Percheron,http://www.wikidata.org/entity/Q3014544
Daniel,Raoul,http://www.wikidata.org/entity/Q3014586
Daniel,Soulage,http://www.wikidata.org/entity/Q3014708
Michel,Thiollière,http://www.wikidata.org/entity/Q3031932
Christophe,Frassa,http://www.wikidata.org/entity/Q2966061
Corinne,Bouchoux,http://www.wikidata.org/entity/Q2997298
Claude,Belot,http://www.wikidata.org/entity/Q2976977
Claude,Billard,http://www.wikidata.org/entity/Q2977010
Claude,Biwer,http://www.wikidata.org/entity/Q2977023
Claude,Estier,http://www.wikidata.org/entity/Q2977355
Claude,Fuzier,http://www.wikidata.org/entity/Q2977424
Claude,Jeannerot,http://www.wikidata.org/entity/Q2977597
Claude,Lise,http://www.wikidata.org/entity/Q2977716
Claude,Léonard,http://www.wikidata.org/entity/Q2977733
Claude,Mont,http://www.wikidata.org/entity/Q2977847
Claude,Saunier,http://www.wikidata.org/entity/Q2978132
Didier,Boulaud,http://www.wikidata.org/entity/Q3026940
Didier,Borotra,http://www.wikidata.org/entity/Q3026943
Didier,Guillaume,http://www.wikidata.org/entity/Q3027038
Didier,Guillaume,http://www.wikidata.org/entity/Q3027038
Didier,Marie,http://www.wikidata.org/entity/Q3027102
Didier,Robert,http://www.wikidata.org/entity/Q3027191
Christian,Gaudin,http://www.wikidata.org/entity/Q2965285
Christian,Lunet de La Malène,http://www.wikidata.org/entity/Q2965727
Emmanuel,Hamel,http://www.wikidata.org/entity/Q3052726
Eugène,Bonnet,http://www.wikidata.org/entity/Q3059739
Eugène,Boyer,http://www.wikidata.org/entity/Q3059744
Danielle,Michel,http://www.wikidata.org/entity/Q3015012
Clément,Balestra,http://www.wikidata.org/entity/Q2980569
Claire-Lise,Campion,http://www.wikidata.org/entity/Q2974991
Delphine,Bataille,http://www.wikidata.org/entity/Q3021806
Hasday,Estier,http://www.wikidata.org/entity/Q2977355
Anne,Heinis,http://www.wikidata.org/entity/Q2415868
Annie,Le Houérou,http://www.wikidata.org/entity/Q2689081
Esther,Benbassa,http://www.wikidata.org/entity/Q1285501
Jacques,Baumel,http://www.wikidata.org/entity/Q1242626
Jacques,Delalande,http://www.wikidata.org/entity/Q2363780
Xavier,de Villepin,http://www.wikidata.org/entity/Q1432745
Xavier,Darcos,http://www.wikidata.org/entity/Q1470586
François,Gerbaud,http://www.wikidata.org/entity/Q1922541
François,Autain,http://www.wikidata.org/entity/Q2373234
Francis,Giraud,http://www.wikidata.org/entity/Q1441506
Maurice,Fontaine,http://www.wikidata.org/entity/Q1661456
Maurice,Fontaine,http://www.wikidata.org/entity/Q1661456
Maurice,Blin,http://www.wikidata.org/entity/Q2398250
Henri,Rochereau,http://www.wikidata.org/entity/Q1371253
Henri,d'Attilio,http://www.wikidata.org/entity/Q1606064
Gilbert,Baumet,http://www.wikidata.org/entity/Q1523929
Hector,Dubois,http://www.wikidata.org/entity/Q2364562
Yves,Estève,http://www.wikidata.org/entity/Q786627
Pierre,Taittinger,http://www.wikidata.org/entity/Q820283
Pierre,Frogier,http://www.wikidata.org/entity/Q960015
Pierre,Camani,http://www.wikidata.org/entity/Q980053
Pierre,Laurent,http://www.wikidata.org/entity/Q2093665
Raymond,Marcellin,http://www.wikidata.org/entity/Q1347314
René,Billères,http://www.wikidata.org/entity/Q2676536
Alain,Chatillon,http://www.wikidata.org/entity/Q927330
Alain,Peyrefitte,http://www.wikidata.org/entity/Q929334
Alain,Richard,http://www.wikidata.org/entity/Q930418
Alain,Cadec,http://www.wikidata.org/entity/Q1404258
Alain,Marc,http://www.wikidata.org/entity/Q2271854
Alain,Fouché,http://www.wikidata.org/entity/Q2403333
