Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
83008P,208,208,Abadie,François,RDSE,Groupe du RDSE,,2001-03-02 00:00:00.0,Membre,,2001-03-02 00:00:00.0
14263U,2623,2974,Abate,Patrick,CRC,Groupe CRCE,2014-12-22 00:00:00.0,2017-06-17 00:00:00.0,Membre,2014-12-22 00:00:00.0,2017-06-17 00:00:00.0
57316A,918,1178,Abdellatif,Mohamed,RI,Groupe des RI,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
95004Y,636,632,About,Nicolas,RI,Groupe des RI,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
95004Y,797,793,About,Nicolas,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2003-08-01 00:00:00.0,Membre,2002-12-11 00:00:00.0,2003-08-01 00:00:00.0
95004Y,1626,1888,About,Nicolas,UC,Groupe Union Centriste,2003-08-02 00:00:00.0,2011-01-23 00:00:00.0,Membre,2003-08-02 00:00:00.0,2009-07-06 00:00:00.0
95004Y,1626,2356,About,Nicolas,UC,Groupe Union Centriste,2003-08-02 00:00:00.0,2011-01-23 00:00:00.0,Président,2009-07-07 00:00:00.0,2011-01-23 00:00:00.0
95004Y,289,289,About,Nicolas,RI,Groupe des RI,,2001-10-01 00:00:00.0,Membre,,2001-10-01 00:00:00.0
000346,919,1179,Achour,Youssef,GD,Gauche Démocratique,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
08008S,1889,2173,Ackermann,Yves,NI,Réunion administrative des non-inscrits,2008-09-08 00:00:00.0,2008-09-10 00:00:00.0,Membre,2008-09-08 00:00:00.0,2008-09-10 00:00:00.0
08008S,1890,2174,Ackermann,Yves,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-09-11 00:00:00.0,2008-09-30 00:00:00.0,Membre,2008-09-11 00:00:00.0,2008-09-30 00:00:00.0
89017R,19,424,Adnot,Philippe,NI,Réunion administrative des non-inscrits,,2020-09-30 00:00:00.0,Délégué,1998-10-05 00:00:00.0,2020-09-30 00:00:00.0
89017R,19,19,Adnot,Philippe,NI,Réunion administrative des non-inscrits,,2020-09-30 00:00:00.0,Membre,,1998-10-04 00:00:00.0
000448,920,1180,Agarande,Henri,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
000425,917,1177,Ahmed,Abdallah Abderamane,NI,Réunion administrative des non-inscrits,,1973-01-09 00:00:00.0,Membre,,1973-01-09 00:00:00.0
11076S,2292,2566,Aïchi,Leila,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2012-01-10 00:00:00.0,Membre,2011-10-01 00:00:00.0,2012-01-10 00:00:00.0
11076S,2346,2667,Aïchi,Leila,ECO,Groupe écologiste,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0,Membre,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0
11076S,2719,3102,Aïchi,Leila,NI,Réunion administrative des non-inscrits,2017-06-30 00:00:00.0,2017-07-03 00:00:00.0,Membre,2017-06-30 00:00:00.0,2017-07-03 00:00:00.0
11076S,2727,3120,Aïchi,Leila,UC,Groupe Union Centriste,2017-07-04 00:00:00.0,2017-10-01 00:00:00.0,Membre,2017-07-04 00:00:00.0,2017-10-01 00:00:00.0
59533R,921,1181,D'Aillieres,Michel,RI,Groupe des RI,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000260,1597,1857,Al Sid Cheikh,Cheikh,UNR,Union pour la Nouvelle République,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
01006K,513,512,Alduy,Jean-Paul,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01006K,572,571,Alduy,Jean-Paul,UC,Groupe Union Centriste,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01006K,829,825,Alduy,Jean-Paul,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0
58343H,922,1182,Alduy,Jacqueline,NI,Réunion administrative des non-inscrits,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
59213C,1565,1825,Alduy,Paul,UC,Groupe Union Centriste,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
57773X,923,1183,Alexandre Debray,Janine,RI,Groupe des RI,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
01065W,642,639,Alfonsi,Nicolas,NI,Réunion administrative des non-inscrits,2001-12-02 00:00:00.0,2001-12-04 00:00:00.0,Membre,2001-12-02 00:00:00.0,2001-12-04 00:00:00.0
01065W,643,640,Alfonsi,Nicolas,RDSE,Groupe du RDSE,2001-12-04 00:00:00.0,2014-09-30 00:00:00.0,Membre,2001-12-04 00:00:00.0,2014-09-30 00:00:00.0
000087,924,1184,Allies,Charles,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
14133K,2450,2768,Allizard,Pascal,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14133K,2527,2859,Allizard,Pascal,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,,Membre,2014-10-07 00:00:00.0,
80002U,38,38,Alloncle,Michel,RPR,Groupe du RPR,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
83010H,177,177,Allouche,Guy,SOC,"Groupe Socialiste, Écologiste et Républicain",,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
04087R,2353,2674,Alquier,Jacqueline,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04087R,1723,1985,Alquier,Jacqueline,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,2004-10-05 00:00:00.0,2014-09-30 00:00:00.0
000724,1464,1724,Alric,Gustave,RI,Groupe des RI,,1967-10-17 00:00:00.0,Membre,,1967-10-17 00:00:00.0
92006N,205,205,Althapé,Louis,RPR,Groupe du RPR,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
59214D,925,1185,Amelin,Jean,RPR,Groupe du RPR,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
57716N,926,1186,Amic,Auguste,SOC,"Groupe Socialiste, Écologiste et Républicain",,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
14239U,2490,2808,Amiel,Michel,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14239U,2606,2956,Amiel,Michel,NI,Réunion administrative des non-inscrits,2014-10-07 00:00:00.0,2015-07-14 00:00:00.0,Membre,2014-10-07 00:00:00.0,2015-07-14 00:00:00.0
14239U,2650,3011,Amiel,Michel,RDSE,Groupe du RDSE,2015-07-15 00:00:00.0,2017-06-27 00:00:00.0,Membre,2015-07-15 00:00:00.0,2017-06-27 00:00:00.0
14239U,2692,3074,Amiel,Michel,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-06-28 00:00:00.0,2020-03-02 00:00:00.0,Membre,2017-06-28 00:00:00.0,2017-06-28 00:00:00.0
14239U,2692,3119,Amiel,Michel,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-06-28 00:00:00.0,2020-03-02 00:00:00.0,Membre,2017-06-30 00:00:00.0,2020-03-02 00:00:00.0
14239U,3061,3476,Amiel,Michel,RTLI,Groupe Les Indépendants - République et Territoires,2020-03-03 00:00:00.0,2020-08-02 00:00:00.0,Membre,2020-03-03 00:00:00.0,2020-08-02 00:00:00.0
95005A,237,237,Amoudry,Jean-Paul,UC,Groupe Union Centriste,1995-10-02 00:00:00.0,2014-09-30 00:00:00.0,Membre,1995-10-02 00:00:00.0,2014-09-30 00:00:00.0
59215E,927,1187,D'Andigne,Hubert,RPR,Groupe du RPR,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
000689,1465,1725,Andre,Louis,RI,Groupe des RI,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
01031L,538,537,André,Michèle,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01031L,573,572,André,Michèle,SOC,"Groupe Socialiste, Écologiste et Républicain",2001-10-02 00:00:00.0,2017-10-01 00:00:00.0,Membre,2001-10-02 00:00:00.0,2017-10-01 00:00:00.0
98036V,354,357,André,Pierre,RPR,Groupe du RPR,1998-10-01 00:00:00.0,2002-12-10 00:00:00.0,Membre,1998-10-01 00:00:00.0,2002-12-10 00:00:00.0
98036V,725,721,André,Pierre,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2014-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2014-09-30 00:00:00.0
19930E,3071,3486,André,Catherine,NI,Réunion administrative des non-inscrits,2020-06-28 00:00:00.0,2020-06-29 00:00:00.0,Membre,2020-06-28 00:00:00.0,2020-06-29 00:00:00.0
19930E,3072,3487,André,Catherine,UMP,Groupe Les Républicains,2020-06-30 00:00:00.0,2020-09-30 00:00:00.0,Membre,2020-06-30 00:00:00.0,2020-09-30 00:00:00.0
08040S,1960,2235,Andreoni,Serge,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
000376,1430,1690,Andrieux,Antoine,SOC,"Groupe Socialiste, Écologiste et Républicain",,1983-05-10 00:00:00.0,Membre,,1983-05-10 00:00:00.0
97009N,269,269,Angels,Bernard,SOC,"Groupe Socialiste, Écologiste et Républicain",,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
000465,928,1188,Anglade,Magdeleine,RPR,Groupe du RPR,,1995-09-24 00:00:00.0,Membre,,1995-09-24 00:00:00.0
20032T,3098,3513,Anglars,Jean-Claude,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20032T,3175,3590,Anglars,Jean-Claude,UMP,Groupe Les Républicains,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
12040W,2382,2703,Ango Ela,Kalliopi,ECO,Groupe écologiste,2012-07-22 00:00:00.0,2014-05-04 00:00:00.0,Membre,2012-07-22 00:00:00.0,2014-05-04 00:00:00.0
11109J,2216,2490,Antiste,Maurice,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,,Membre,2011-10-01 00:00:00.0,2015-06-09 00:00:00.0
11109J,2216,2997,Antiste,Maurice,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,,Membre,2015-06-10 00:00:00.0,
08072B,2002,2273,Antoinette,Jean-Étienne,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
08025T,1909,2193,Anziani,Alain,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2017-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2017-09-30 00:00:00.0
19760E,3004,3413,Apourceau-Poly,Cathy,AUCUN,Sénateurs n'appartenant à aucun groupe,2018-07-01 00:00:00.0,2018-07-01 00:00:00.0,Membre,2018-07-01 00:00:00.0,2018-07-01 00:00:00.0
19760E,3006,3415,Apourceau-Poly,Cathy,CRC,Groupe CRCE,2018-07-02 00:00:00.0,,Membre,2018-07-02 00:00:00.0,
11055M,2299,2573,Archimbaud,Aline,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2012-01-10 00:00:00.0,Membre,2011-10-01 00:00:00.0,2012-01-10 00:00:00.0
11055M,2348,2669,Archimbaud,Aline,ECO,Groupe écologiste,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0,Membre,2012-01-11 00:00:00.0,2017-06-29 00:00:00.0
11055M,2720,3103,Archimbaud,Aline,NI,Réunion administrative des non-inscrits,2017-06-30 00:00:00.0,2017-10-01 00:00:00.0,Membre,2017-06-30 00:00:00.0,2017-10-01 00:00:00.0
000757,1466,1726,d'Argenlieu,Philippe,UNR,Union pour la Nouvelle République,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
000037,929,1189,Armengaud,André,RI,Groupe des RI,,1974-03-11 00:00:00.0,Membre,,1974-03-11 00:00:00.0
96008H,39,2068,Arnaud,Philippe,UC,Groupe Union Centriste,,2008-09-30 00:00:00.0,Vice-Président,2004-10-06 00:00:00.0,2008-09-30 00:00:00.0
96008H,39,39,Arnaud,Philippe,UC,Groupe Union Centriste,,2008-09-30 00:00:00.0,Membre,,2004-10-05 00:00:00.0
14189C,3101,3516,Arnaud,Jean-Michel,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
14189C,3251,3666,Arnaud,Jean-Michel,UC,Groupe Union Centriste,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
14261S,2522,2840,Arnell,Guillaume,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14261S,2616,2967,Arnell,Guillaume,RDSE,Groupe du RDSE,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0
59520L,930,1190,Arreckx,Maurice,RI,Groupe des RI,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
19717B,2845,3239,Artano,Stéphane,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19717B,2878,3273,Artano,Stéphane,RDSE,Groupe du RDSE,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
83011J,149,423,Arthuis,Jean,UC,Groupe Union Centriste,,2014-07-01 00:00:00.0,Président,1998-09-29 00:00:00.0,2002-07-16 00:00:00.0
83011J,149,656,Arthuis,Jean,UC,Groupe Union Centriste,,2014-07-01 00:00:00.0,Membre,2002-07-17 00:00:00.0,2014-07-01 00:00:00.0
83011J,149,149,Arthuis,Jean,UC,Groupe Union Centriste,,2014-07-01 00:00:00.0,Membre,,1998-10-04 00:00:00.0
19631V,2817,3211,Artigalas,Viviane,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19631V,2898,3295,Artigalas,Viviane,SOC,"Groupe Socialiste, Écologiste et Républicain",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
80003V,74,74,Arzel,Alphonse,UC,Groupe Union Centriste,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
04085P,2354,2675,Assassi,Éliane,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04085P,1721,1983,Assassi,Éliane,CRC,Groupe CRCE,2004-10-05 00:00:00.0,,Membre,2004-10-05 00:00:00.0,2012-09-18 00:00:00.0
04085P,1721,2706,Assassi,Éliane,CRC,Groupe CRCE,2004-10-05 00:00:00.0,,Président,2012-09-19 00:00:00.0,2017-10-02 00:00:00.0
04085P,1721,3254,Assassi,Éliane,CRC,Groupe CRCE,2004-10-05 00:00:00.0,,Président,2017-10-03 00:00:00.0,
04059M,2355,2676,Assouline,David,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04059M,1691,1953,Assouline,David,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,,Membre,2004-10-05 00:00:00.0,
98020M,336,337,d'Attilio,Henri,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-01 00:00:00.0,2004-12-23 00:00:00.0,Membre,1998-10-01 00:00:00.0,2004-12-23 00:00:00.0
98011L,326,326,Auban,Bertrand,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98011L,390,397,Auban,Bertrand,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,1998-10-05 00:00:00.0,2004-10-14 00:00:00.0
98011L,390,2065,Auban,Bertrand,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Vice-Président,2004-10-15 00:00:00.0,2011-09-30 00:00:00.0
98011L,390,2611,Auban,Bertrand,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,2011-10-01 00:00:00.0,2011-11-01 00:00:00.0
98011L,390,2639,Auban,Bertrand,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Vice-Président,2011-11-02 00:00:00.0,2014-09-30 00:00:00.0
000012,931,1191,Auberger,Fernand,SOC,"Groupe Socialiste, Écologiste et Républicain",,1962-03-06 00:00:00.0,Membre,,1962-03-06 00:00:00.0
000146,932,1192,Aubert,Emile,SOC,"Groupe Socialiste, Écologiste et Républicain",,1969-08-22 00:00:00.0,Membre,,1969-08-22 00:00:00.0
14137P,2449,2767,Aubey,François,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14137P,2594,2942,Aubey,François,SOC,"Groupe Socialiste, Écologiste et Républicain",2014-10-07 00:00:00.0,2015-06-12 00:00:00.0,Membre,2014-10-07 00:00:00.0,2015-06-12 00:00:00.0
000051,1598,1858,Aubin,Jean,UC,Groupe Union Centriste,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
58614M,933,1193,Aubry,André,C,Communistes,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
000098,934,1194,Auburtin,Jean,RPR,Groupe du RPR,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
000292,935,1195,Audy,Marcel,GD,Gauche Démocratique,,1962-09-22 00:00:00.0,Membre,,1962-09-22 00:00:00.0
83012K,634,630,Autain,François,CRC,Groupe CRCE,2001-10-02 00:00:00.0,2009-05-12 00:00:00.0,Membre,2001-10-02 00:00:00.0,2009-05-12 00:00:00.0
83012K,2082,2355,Autain,François,CRC,Groupe CRCE,2009-05-13 00:00:00.0,2011-09-30 00:00:00.0,Membre,2009-05-13 00:00:00.0,2011-09-30 00:00:00.0
83012K,129,129,Autain,François,SOC,"Groupe Socialiste, Écologiste et Républicain",,2001-10-01 00:00:00.0,Membre,,2001-10-01 00:00:00.0
00001A,429,446,Autexier,Jean-Yves,NI,Réunion administrative des non-inscrits,2000-01-28 00:00:00.0,2000-02-04 00:00:00.0,Membre,2000-01-28 00:00:00.0,2000-02-04 00:00:00.0
00001A,430,447,Autexier,Jean-Yves,CRC,Groupe CRCE,2000-02-04 00:00:00.0,2004-09-30 00:00:00.0,Membre,2000-02-04 00:00:00.0,2004-09-30 00:00:00.0
80004W,18,18,Authié,Germain,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
19515S,2757,3151,Babary,Serge,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19515S,2923,3323,Babary,Serge,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
57741P,897,1157,Bac,Jean,RPR,Groupe du RPR,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
20112S,3144,3559,Bacchi,Jérémy,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20112S,3172,3587,Bacchi,Jérémy,CRC,Groupe CRCE,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
20076G,3123,3538,Bacci,Jean,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20076G,3210,3625,Bacci,Jean,UMP,Groupe Les Républicains,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
95006B,94,94,Badinter,Robert,SOC,"Groupe Socialiste, Écologiste et Républicain",,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
95007C,93,93,Badré,Denis,UC,Groupe Union Centriste,,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
000016,898,1158,de Bagneux,Jean,UREI,Union des Républicains et des Indépendants,,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
89046W,11,11,Bailet,Honoré,RPR,Groupe du RPR,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
000490,899,1159,Bailly,Jean,UDR,Union des Démocrates pour la République,,1971-11-02 00:00:00.0,Membre,,1971-11-02 00:00:00.0
11039M,2157,2431,Bailly,Dominique,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
01008M,515,514,Bailly,Gérard,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01008M,574,573,Bailly,Gérard,RPR,Groupe du RPR,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01008M,742,738,Bailly,Gérard,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0,Membre,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0
000339,900,1160,Bajeux,Octave,UCDP,Union Centriste des Démocrates de Progrès,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
84004P,762,758,Balarello,José,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0
84004P,12,12,Balarello,José,RI,Groupe des RI,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
000115,901,1161,Balestra,Clément,SOC,"Groupe Socialiste, Écologiste et Républicain",,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
74008N,150,150,Ballayer,René,UC,Groupe Union Centriste,,2001-01-26 00:00:00.0,Membre,,2001-01-26 00:00:00.0
59564Y,1596,1856,Bangou,Henri,C,Communistes,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
19707Y,2824,3218,Bansard,Jean-Pierre,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19707Y,2924,3324,Bansard,Jean-Pierre,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,2018-07-27 00:00:00.0,Membre,2017-10-03 00:00:00.0,2018-07-27 00:00:00.0
19707Y,3290,3706,Bansard,Jean-Pierre,UMP,Groupe Les Républicains,2021-10-01 00:00:00.0,,Membre,2021-10-01 00:00:00.0,
000733,1467,1727,Baratgin,Paul,GD,Gauche Démocratique,,1966-12-22 00:00:00.0,Membre,,1966-12-22 00:00:00.0
79005G,902,1162,Barbier,Bernard,RI,Groupe des RI,,1998-02-25 00:00:00.0,Membre,,1998-02-25 00:00:00.0
01046T,554,553,Barbier,Gilbert,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01046T,575,574,Barbier,Gilbert,RDSE,Groupe du RDSE,2001-10-02 00:00:00.0,2017-10-01 00:00:00.0,Membre,2001-10-02 00:00:00.0,2017-05-22 00:00:00.0
01046T,575,3051,Barbier,Gilbert,RDSE,Groupe du RDSE,2001-10-02 00:00:00.0,2017-10-01 00:00:00.0,Président,2017-05-23 00:00:00.0,2017-10-01 00:00:00.0
000282,903,1163,Barbier,Pierre,GD,Gauche Démocratique,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
58109Y,904,1164,Bardol,Jean,C,Communistes,,1973-04-01 00:00:00.0,Membre,,1973-04-01 00:00:00.0
94004U,137,137,Bardou,Janine,RI,Groupe des RI,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
19651A,2784,3178,Bargeton,Julien,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19651A,2879,3275,Bargeton,Julien,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
58515K,905,1165,Barkat-Gourat,Hamadou,UNR,Union pour la Nouvelle République,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
95008D,233,233,Barnier,Michel,RPR,Groupe du RPR,,1999-09-23 00:00:00.0,Membre,,1999-09-23 00:00:00.0
05004A,2442,2760,Baroin,François,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
05004A,2528,2860,Baroin,François,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,2017-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2017-09-30 00:00:00.0
000002,906,1166,Barrachin,Edmond,UCDP,Union Centriste des Démocrates de Progrès,,1975-11-08 00:00:00.0,Membre,,1975-11-08 00:00:00.0
000529,907,1167,Barras,Jean,RPR,Groupe du RPR,,1990-04-11 00:00:00.0,Membre,,1990-04-11 00:00:00.0
89018S,828,824,Barraux,Bernard,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2008-09-30 00:00:00.0
89018S,7,7,Barraux,Bernard,UC,Groupe Union Centriste,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
