Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
89041R,414,431,Seillier,Bernard,NI,Réunion administrative des non-inscrits,1998-10-09 00:00:00.0,2004-10-04 00:00:00.0,Membre,1998-10-09 00:00:00.0,2004-10-04 00:00:00.0
89041R,1750,2013,Seillier,Bernard,RDSE,Groupe du RDSE,2004-10-05 00:00:00.0,2008-09-30 00:00:00.0,Membre,2004-10-05 00:00:00.0,2008-09-30 00:00:00.0
89041R,23,23,Seillier,Bernard,RI,Groupe des RI,,1998-10-07 00:00:00.0,Membre,,1998-10-07 00:00:00.0
59581A,1367,1627,Seligmann,Françoise,SOC,"Groupe Socialiste, Écologiste et Républicain",,1995-09-24 00:00:00.0,Membre,,1995-09-24 00:00:00.0
58933A,1613,1873,Sempe,Abel,RDE,Rassemblement Démocratique et Européen,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
000440,1368,1628,Seramy,Paul,UC,Groupe Union Centriste,,1992-02-23 00:00:00.0,Membre,,1992-02-23 00:00:00.0
92043T,195,195,Sergent,Michel,SOC,"Groupe Socialiste, Écologiste et Républicain",,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
77066M,222,222,Sérusclat,Franck,SOC,"Groupe Socialiste, Écologiste et Républicain",,1999-11-01 00:00:00.0,Membre,,1999-11-01 00:00:00.0
000168,1369,1629,Servat,André,NI,Réunion administrative des non-inscrits,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
20178M,3269,3685,Sévêque,Alain,NI,Réunion administrative des non-inscrits,2020-12-02 00:00:00.0,2020-12-03 00:00:00.0,Membre,2020-12-02 00:00:00.0,2020-12-03 00:00:00.0
000101,1370,1630,Sibor,Henri,UCDP,Union Centriste des Démocrates de Progrès,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
000369,1371,1631,Sicard,Pierre,UC,Groupe Union Centriste,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
01058X,566,565,Sido,Bruno,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01058X,623,619,Sido,Bruno,RPR,Groupe du RPR,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
